ticket_id,assigned_team,assigned_engineer,root_cause,fix_type,is_repeat_incident
TKT-10001,Database Admins,Sarah Connor,Hardware Failure,Workaround,0
TKT-10002,Network Ops,Trinity Moss,User Error,Patch,0
TKT-10003,Network Ops,Neo Anderson,Config Error,Patch,0
TKT-10004,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
TKT-10005,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-10006,Network Ops,Morpheus Fish,Code Bug,Patch,1
TKT-10007,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-10008,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-10009,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-10010,Network Ops,Trinity Moss,Vendor Issue,System Restart,0
TKT-10011,DevOps,Linus T,Config Error,Permanent Fix,0
TKT-10012,Network Ops,Neo Anderson,User Error,Workaround,0
TKT-10013,DevOps,Grace Hopper,Code Bug,Workaround,1
TKT-10014,Network Ops,Neo Anderson,Code Bug,Workaround,1
TKT-10015,L1 Support,Danielle Johnson,Config Error,Permanent Fix,1
TKT-10016,L1 Support,Jeffery Wagner,Code Bug,Permanent Fix,0
TKT-10017,Security Ops,James Bond,Hardware Failure,Workaround,0
TKT-10018,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-10019,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-10020,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-10021,Network Ops,Morpheus Fish,User Error,Permanent Fix,0
TKT-10022,L1 Support,Jeffrey Lawrence,Code Bug,Patch,0
TKT-10023,Network Ops,Trinity Moss,Vendor Issue,System Restart,0
TKT-10024,L1 Support,Patricia Miller,User Error,Permanent Fix,0
TKT-10025,DevOps,Ada Lovelace,User Error,Workaround,0
TKT-10026,Network Ops,Morpheus Fish,Hardware Failure,System Restart,0
TKT-10027,Network Ops,Trinity Moss,Code Bug,Patch,0
TKT-10028,Database Admins,John Doe,Vendor Issue,Workaround,0
TKT-10029,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-10030,DevOps,Grace Hopper,Code Bug,Workaround,1
TKT-10031,DevOps,Linus T,Config Error,Patch,0
TKT-10032,L1 Support,Debra Gardner,Hardware Failure,Patch,1
TKT-10033,L1 Support,Jeffrey Lawrence,Vendor Issue,Workaround,0
TKT-10034,Network Ops,Neo Anderson,Vendor Issue,Workaround,0
TKT-10035,Network Ops,Morpheus Fish,Hardware Failure,Patch,0
TKT-10036,L1 Support,Anthony Gonzalez,Hardware Failure,Workaround,0
TKT-10037,Network Ops,Morpheus Fish,User Error,Patch,0
TKT-10038,Network Ops,Neo Anderson,Hardware Failure,System Restart,0
TKT-10039,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-10040,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-10041,DevOps,Ada Lovelace,Hardware Failure,Permanent Fix,1
TKT-10042,L1 Support,Danielle Johnson,Vendor Issue,Patch,0
TKT-10043,Network Ops,Neo Anderson,Vendor Issue,Workaround,0
TKT-10044,Security Ops,Ethan Hunt,User Error,Patch,0
TKT-10045,Security Ops,Ethan Hunt,Code Bug,Patch,0
TKT-10046,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,1
TKT-10047,L1 Support,Lisa Smith,Code Bug,Permanent Fix,0
TKT-10048,L1 Support,Anthony Gonzalez,User Error,Workaround,0
TKT-10049,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-10050,Database Admins,Aaron Smith,Code Bug,Permanent Fix,0
TKT-10051,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-10052,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-10053,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-10054,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10055,Database Admins,Emily Blunt,Code Bug,Workaround,0
TKT-10056,L1 Support,Jill Rhodes,Code Bug,Permanent Fix,0
TKT-10057,L1 Support,Debra Gardner,User Error,Patch,1
TKT-10058,L1 Support,Lisa Smith,User Error,Patch,1
TKT-10059,DevOps,Ada Lovelace,Code Bug,Patch,1
TKT-10060,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-10061,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-10062,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,1
TKT-10063,L1 Support,Robert Johnson,Code Bug,System Restart,0
TKT-10064,Database Admins,Aaron Smith,Code Bug,Permanent Fix,0
TKT-10065,Network Ops,Morpheus Fish,Hardware Failure,Workaround,0
TKT-10066,Network Ops,Trinity Moss,Vendor Issue,System Restart,0
TKT-10067,Network Ops,Trinity Moss,User Error,System Restart,0
TKT-10068,L1 Support,Joshua Walker,Code Bug,Permanent Fix,0
TKT-10069,L1 Support,Robert Johnson,Code Bug,Workaround,0
TKT-10070,Network Ops,Neo Anderson,Code Bug,System Restart,0
TKT-10071,Database Admins,Aaron Smith,User Error,Patch,0
TKT-10072,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10073,DevOps,Ada Lovelace,Code Bug,Permanent Fix,0
TKT-10074,L1 Support,Lisa Smith,Hardware Failure,Workaround,0
TKT-10075,Network Ops,Morpheus Fish,Vendor Issue,Workaround,0
TKT-10076,L1 Support,Jeffery Wagner,Config Error,Workaround,0
TKT-10077,L1 Support,Patricia Miller,Config Error,Workaround,0
TKT-10078,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,1
TKT-10079,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10080,L1 Support,Lisa Smith,Hardware Failure,Permanent Fix,0
TKT-10081,L1 Support,Jeffrey Lawrence,Code Bug,Permanent Fix,0
TKT-10082,Network Ops,Neo Anderson,Config Error,Patch,0
TKT-10083,L1 Support,Joshua Walker,User Error,Workaround,0
TKT-10084,L1 Support,Anthony Gonzalez,Code Bug,Permanent Fix,0
TKT-10085,DevOps,Ada Lovelace,Config Error,Permanent Fix,0
TKT-10086,L1 Support,Lisa Smith,User Error,Patch,0
TKT-10087,Network Ops,Neo Anderson,User Error,Patch,0
TKT-10088,L1 Support,Debra Gardner,Hardware Failure,Workaround,0
TKT-10089,Network Ops,Trinity Moss,Config Error,Permanent Fix,1
TKT-10090,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-10091,L1 Support,Robert Johnson,Hardware Failure,Permanent Fix,0
TKT-10092,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-10093,Network Ops,Trinity Moss,Config Error,Patch,0
TKT-10094,DevOps,Grace Hopper,Hardware Failure,System Restart,0
TKT-10095,Network Ops,Neo Anderson,User Error,Permanent Fix,0
TKT-10096,L1 Support,Joshua Walker,User Error,Permanent Fix,0
TKT-10097,L1 Support,Robert Johnson,Config Error,Patch,0
TKT-10098,DevOps,Linus T,Code Bug,Patch,0
TKT-10099,Database Admins,Aaron Smith,Hardware Failure,System Restart,0
TKT-10100,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10101,DevOps,Linus T,User Error,Permanent Fix,0
TKT-10102,L1 Support,Danielle Johnson,User Error,Permanent Fix,0
TKT-10103,L1 Support,Joshua Walker,Vendor Issue,Permanent Fix,0
TKT-10104,L1 Support,Jeffery Wagner,Hardware Failure,System Restart,0
TKT-10105,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-10106,L1 Support,Lisa Smith,Config Error,Workaround,0
TKT-10107,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-10108,Network Ops,Neo Anderson,Config Error,Patch,0
TKT-10109,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-10110,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,1
TKT-10111,DevOps,Linus T,User Error,Permanent Fix,1
TKT-10112,Database Admins,Aaron Smith,Code Bug,System Restart,0
TKT-10113,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-10114,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-10115,L1 Support,Patricia Miller,Config Error,Workaround,0
TKT-10116,L1 Support,Debra Gardner,Hardware Failure,Patch,0
TKT-10117,Database Admins,John Doe,Hardware Failure,Permanent Fix,0
TKT-10118,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-10119,L1 Support,Lisa Smith,User Error,Permanent Fix,1
TKT-10120,L1 Support,Anthony Gonzalez,Hardware Failure,Permanent Fix,1
TKT-10121,DevOps,Linus T,Config Error,Permanent Fix,1
TKT-10122,L1 Support,Danielle Johnson,Config Error,Workaround,0
TKT-10123,L1 Support,Robert Johnson,Hardware Failure,Workaround,1
TKT-10124,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-10125,DevOps,Ada Lovelace,Vendor Issue,Permanent Fix,0
TKT-10126,Network Ops,Neo Anderson,Code Bug,System Restart,1
TKT-10127,Network Ops,Neo Anderson,Config Error,Workaround,0
TKT-10128,Network Ops,Morpheus Fish,Hardware Failure,Workaround,1
TKT-10129,Network Ops,Neo Anderson,User Error,Patch,0
TKT-10130,L1 Support,Jill Rhodes,Vendor Issue,Permanent Fix,0
TKT-10131,Network Ops,Trinity Moss,Code Bug,Workaround,0
TKT-10132,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-10133,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-10134,L1 Support,Robert Johnson,Code Bug,Permanent Fix,0
TKT-10135,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,1
TKT-10136,DevOps,Linus T,Code Bug,Patch,1
TKT-10137,DevOps,Grace Hopper,Code Bug,Permanent Fix,0
TKT-10138,Network Ops,Neo Anderson,Config Error,Workaround,0
TKT-10139,Network Ops,Neo Anderson,Hardware Failure,Permanent Fix,0
TKT-10140,DevOps,Grace Hopper,User Error,Workaround,0
TKT-10141,Security Ops,James Bond,Vendor Issue,Permanent Fix,0
TKT-10142,L1 Support,Debra Gardner,Config Error,Patch,0
TKT-10143,DevOps,Ada Lovelace,Hardware Failure,Workaround,0
TKT-10144,Network Ops,Neo Anderson,User Error,Workaround,0
TKT-10145,Network Ops,Neo Anderson,User Error,Permanent Fix,0
TKT-10146,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-10147,L1 Support,Jeffrey Lawrence,User Error,Workaround,0
TKT-10148,DevOps,Ada Lovelace,User Error,Patch,0
TKT-10149,Network Ops,Neo Anderson,Code Bug,Patch,0
TKT-10150,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-10151,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
TKT-10152,Network Ops,Trinity Moss,User Error,Permanent Fix,0
TKT-10153,L1 Support,Patricia Miller,User Error,Workaround,0
TKT-10154,Network Ops,Trinity Moss,Config Error,Patch,0
TKT-10155,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-10156,Network Ops,Morpheus Fish,Vendor Issue,Permanent Fix,0
TKT-10157,Network Ops,Morpheus Fish,Code Bug,System Restart,0
TKT-10158,L1 Support,Anthony Gonzalez,User Error,Permanent Fix,0
TKT-10159,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-10160,DevOps,Grace Hopper,Hardware Failure,System Restart,1
TKT-10161,Network Ops,Trinity Moss,Vendor Issue,System Restart,0
TKT-10162,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-10163,Network Ops,Trinity Moss,Vendor Issue,Permanent Fix,0
TKT-10164,DevOps,Grace Hopper,Config Error,Permanent Fix,0
TKT-10165,L1 Support,Joshua Walker,Hardware Failure,Permanent Fix,1
TKT-10166,L1 Support,Debra Gardner,Hardware Failure,Permanent Fix,0
TKT-10167,Database Admins,Emily Blunt,Vendor Issue,Workaround,0
TKT-10168,DevOps,Grace Hopper,Code Bug,Patch,1
TKT-10169,L1 Support,Danielle Johnson,Config Error,Permanent Fix,0
TKT-10170,L1 Support,Danielle Johnson,Vendor Issue,Workaround,1
TKT-10171,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-10172,Security Ops,Ethan Hunt,Hardware Failure,Workaround,0
TKT-10173,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-10174,L1 Support,Anthony Gonzalez,Hardware Failure,Patch,0
TKT-10175,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-10176,Network Ops,Neo Anderson,Vendor Issue,Workaround,1
TKT-10177,Network Ops,Trinity Moss,User Error,Patch,0
TKT-10178,L1 Support,Anthony Gonzalez,Config Error,Workaround,0
TKT-10179,Network Ops,Trinity Moss,Config Error,Permanent Fix,0
TKT-10180,Database Admins,Emily Blunt,User Error,System Restart,0
TKT-10181,Network Ops,Morpheus Fish,User Error,Workaround,0
TKT-10182,L1 Support,Jeffery Wagner,User Error,Permanent Fix,1
TKT-10183,L1 Support,Danielle Johnson,Vendor Issue,Workaround,0
TKT-10184,Database Admins,John Doe,Vendor Issue,Workaround,0
TKT-10185,Security Ops,James Bond,User Error,Workaround,0
TKT-10186,Database Admins,John Doe,Code Bug,Patch,0
TKT-10187,L1 Support,Robert Johnson,Code Bug,Patch,0
TKT-10188,Network Ops,Neo Anderson,Hardware Failure,Patch,0
TKT-10189,Network Ops,Neo Anderson,Config Error,Permanent Fix,0
TKT-10190,Network Ops,Neo Anderson,Hardware Failure,Workaround,0
TKT-10191,L1 Support,Jeffrey Lawrence,Config Error,Permanent Fix,1
TKT-10192,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,1
TKT-10193,Network Ops,Trinity Moss,User Error,Workaround,0
TKT-10194,Network Ops,Morpheus Fish,Vendor Issue,Patch,0
TKT-10195,DevOps,Linus T,Hardware Failure,Permanent Fix,0
TKT-10196,Database Admins,John Doe,Vendor Issue,Workaround,0
TKT-10197,L1 Support,Danielle Johnson,Code Bug,Patch,1
TKT-10198,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-10199,DevOps,Linus T,User Error,Permanent Fix,0
TKT-10200,Network Ops,Morpheus Fish,Config Error,Workaround,0
TKT-10201,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
TKT-10202,Network Ops,Neo Anderson,Code Bug,Permanent Fix,0
TKT-10203,DevOps,Grace Hopper,User Error,Patch,0
TKT-10204,L1 Support,Patricia Miller,Code Bug,Workaround,0
TKT-10205,Network Ops,Neo Anderson,Hardware Failure,Patch,1
TKT-10206,Network Ops,Trinity Moss,Vendor Issue,Workaround,0
TKT-10207,DevOps,Linus T,Hardware Failure,Permanent Fix,1
TKT-10208,L1 Support,Joshua Walker,Config Error,Permanent Fix,0
TKT-10209,Network Ops,Morpheus Fish,Code Bug,Patch,0
TKT-10210,L1 Support,Patricia Miller,Config Error,Workaround,0
TKT-10211,L1 Support,Jeffrey Lawrence,Code Bug,Permanent Fix,1
TKT-10212,L1 Support,Jeffrey Lawrence,Hardware Failure,Permanent Fix,0
TKT-10213,L1 Support,Lisa Smith,Vendor Issue,Permanent Fix,0
TKT-10214,Network Ops,Morpheus Fish,Config Error,Permanent Fix,0
TKT-10215,Network Ops,Trinity Moss,Config Error,Workaround,0
TKT-10216,L1 Support,Lisa Smith,Hardware Failure,Patch,0
TKT-10217,DevOps,Grace Hopper,Config Error,Patch,0
TKT-10218,Network Ops,Neo Anderson,Code Bug,Workaround,0
TKT-10219,Network Ops,Trinity Moss,Hardware Failure,Workaround,0
TKT-10220,Network Ops,Trinity Moss,Code Bug,System Restart,0
TKT-10221,Network Ops,Neo Anderson,Vendor Issue,Permanent Fix,0
TKT-10222,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
TKT-10223,Network Ops,Trinity Moss,Code Bug,Workaround,0
TKT-10224,Network Ops,Neo Anderson,User Error,Permanent Fix,0
TKT-10225,DevOps,Grace Hopper,Code Bug,Workaround,0
TKT-10226,Network Ops,Trinity Moss,Hardware Failure,Permanent Fix,0
TKT-10227,Network Ops,Morpheus Fish,User Error,Workaround,1
TKT-10228,Network Ops,Morpheus Fish,User Error,System Restart,0
TKT-10229,Network Ops,Trinity Moss,User Error,Patch,0
TKT-10230,Network Ops,Morpheus Fish,Vendor Issue,Patch,0
TKT-10231,Network Ops,Morpheus Fish,Hardware Failure,Permanent Fix,0
TKT-10232,L1 Support,Jill Rhodes,User Error,Workaround,0
TKT-10233,Network Ops,Morpheus Fish,Code Bug,Permanent Fix,0
